mz	rt	intensity
504.27576	10.21	239
521.573661	10.21	584
537.304531	10.21	179
567.308328	10.21	89
578.602693	10.21	209
579.273343	10.21	179
596.778991	10.21	239
602.296768	10.21	119
609.307857	10.21	268
613.329084	10.21	328
626.82717	10.21	358
627.82502	10.21	119
638.315942	10.21	209
638.81872	10.21	119
643.297448	10.21	119
867.405327	10.21	119
363.209452	10.26	162
377.208422	10.26	227
396.230387	10.26	260
406.715815	10.26	65
409.221701	10.26	425
430.723865	10.26	66.8
430.753188	10.26	132
431.721198	10.26	195
442.770146	10.26	97
452.238466	10.26	150.75
452.265507	10.26	260
453.754848	10.26	97
462.229406	10.26	195
462.721777	10.26	597
463.281155	10.26	130
465.750268	10.26	130
468.72565	10.26	97
472.224447	10.26	130
477.739218	10.26	227
478.236531	10.26	227
486.599957	10.26	999
493.207308	10.26	74.48
493.241823	10.26	97
501.339821	10.26	195
506.273208	10.26	130
518.238826	10.26	195
529.778838	10.26	227
530.260237	10.26	195
530.765155	10.26	162
541.286866	10.26	227
541.336173	10.26	200.76
543.33075	10.26	260
558.724944	10.26	97
567.244035	10.26	227
586.329768	10.26	130
608.805759	10.26	357
612.299946	10.26	97
612.824839	10.26	730
615.296604	10.26	162
622.315203	10.26	65
636.30088	10.26	162
662.328749	10.26	65
729.902701	10.26	392
751.375867	10.26	162
789.455144	10.26	162
949.532563	10.26	195
351.214358	10.3	283
351.725567	10.3	157
352.853134	10.3	251
353.187227	10.3	314
360.859913	10.3	126
363.707373	10.3	94
365.20164	10.3	220
367.185972	10.3	126
373.174309	10.3	61.29
373.212521	10.3	63
380.690352	10.3	126
405.19578	10.3	126
408.216014	10.3	126
408.715975	10.3	283
420.713321	10.3	126
421.542694	10.3	157
423.721101	10.3	157
428.21185	10.3	189
442.211416	10.3	157
444.271202	10.3	587
451.767158	10.3	251
